Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1988,Qtr 1,February,27,27/02/1988,Russia,Tupolev,Tupolev TU 134ACCCP,Surgut Russia,Aeroflot,51,20,0,20
1973,Qtr 4,December,16,16/12/1973,Russia,Tupolev,Tupolev Tu 124CCCP,Near Karacharovo USSRAeroflot,N/A,51,51,0,51
1974,Qtr 4,December,4,04/12/1974,Russia,Antonov,Antonov An 2 / Antonov An,Irkutsk Russia,Aeroflot,18,13,0,13
1976,Qtr 4,December,18,18/12/1976,Russia,Ilyushin,Ilyushin IL 14MCCCP,Nnear Yuzhno-Sakhalinsk Russia,Aeroflot,8,8,0,8
1929,Qtr 3,August,24,24/08/1929,Russia,Kalinin,Kalinin K 4CCCP,Sochi Russia,Ukvozduchput,1,1,0,1
2001,Qtr 2,May,22,22/05/2001,Russia,Antonov,Antonov 12MGARA 12135,Near Myakotino Russia,Force Air Russian - Military,7,7,0,7
2011,Qtr 1,January,1,01/01/2011,Russia,Tupolev,Tupolev TU 154B,Surgut Russia,Kogalmavia,124,3,0,3
1953,Qtr 4,October,27,27/10/1953,Russia,Ilyushin,Ilyushin IL 12L1765,Near Magadan Russia,Aeroflot,32,22,0,22
1977,Qtr 1,February,15,15/02/1977,Russia,Ilyushin,Ilyushin IL 18VCCCP,Mineralnye Vody Russia,Aeroflot,98,77,0,77
2001,Qtr 4,November,19,19/11/2001,Russia,Ilyushin,Ilyushin 18VRA 75840,Kalyazin Russia,Aero IRS - Charter,27,27,0,27
1974,Qtr 4,November,1,01/11/1974,Russia,Antonov,Antonov An 2 / Mil Mi,Near Surgut Russia,Aeroflot,38,38,0,38
1987,Qtr 4,October,19,19/10/1987,Russia,Antonov,Antonov An 12BCCCP,Komsomolsk-on-Amur Russia,MAP,9,9,0,9
1977,Qtr 1,March,30,30/03/1977,Russia,Yakovlev,Yakovlev YAK 40CCCP,Near Zhadanof Russia,Aeroflot,27,8,0,8
2018,Qtr 1,February,11,11/02/2018,Russia,Antonov,Antonov AN 148,Argunovo Russia,Airlines Saratov,71,71,0,71
1953,Qtr 4,October,31,31/10/1953,Russia,Ilyushin,Li  2L4732,Kharkov. Ukraine Russia,Aeroflot,16,15,0,15
1989,Qtr 4,November,21,21/11/1989,Russia,Antonov,Antonov AN 24CCCP,Near Tyumem Russia,Aeroflot,42,34,0,34
1968,Qtr 1,February,29,29/02/1968,Russia,Ilyushin,Ilyushin IL 18DCCCP,Near Bratsk Russia,Aeroflot,84,83,0,83
1992,Qtr 3,September,12,12/09/1992,Russia,Mil,Mil Mi 8 (helicopter)RA,Kozyrevsk Russia,Airlines Kamchatka,16,9,0,9
2006,Qtr 3,September,11,11/09/2006,Russia,Mi,Mi  8 helicopter,Vladikavkaz Russia,Army Russian - Military,15,12,0,12
1968,Qtr 1,March,27,27/03/1968,Russia,MiG,MiG  15 UTI,Near Moscow Russia,Force Air Russian - Military,2,2,0,2
1992,Qtr 3,August,27,27/08/1992,Russia,Tupolev,Tupolev TU 134ACCCP,Near Ivanovo Russia,Aeroflot,84,84,0,84
1982,Qtr 3,July,6,06/07/1982,Russia,Ilyushin,Ilyushin IL 62MCCCP,Near Moscow Russia,Aeroflot,90,90,0,90
1992,Qtr 3,September,21,21/09/1992,Russia,Mil,Mil Mi 8 (helicopter)RA,Near Kular Russia,Yakutavia,10,10,0,10
1992,Qtr 4,October,29,29/10/1992,Russia,Antonov,Antonov AN 8CCCP,Chita Russia,Aeroflot,14,13,0,13
1992,Qtr 4,November,11,11/11/1992,Russia,Antonov,Antonov AN 22ACCCP,Near Tver Russia,Force Air Russian - Military,33,33,0,33
1947,Qtr 4,December,18,18/12/1947,Russia,Ilyushin,Ilyushin IL 12CCCP,Krasnoyarsk Russia,Aeroflot,25,9,0,9
1968,Qtr 1,January,6,06/01/1968,Russia,Antonov,Antonov AN 24BCCCP,Near Olekminsk Russia,Aeroflot,46,45,0,45
1982,Qtr 2,June,28,28/06/1982,Russia,Yakovlev,Yakovlev YAK 42CCCP,Southern Belarus USSRAeroflot,N/A,132,132,0,132
1992,Qtr 4,October,19,19/10/1992,Russia,Antonov,Antonov AN 28CCCP,Near Usti Nem Russia,Avia Syktyvkar,16,15,0,15
1951,Qtr 4,December,27,27/12/1951,Russia,sunov,Lisunov LI 2L4228,Near Namtso Russia,Aeroflot,20,20,0,20
2011,Qtr 3,August,9,09/08/2011,Russia,Antonov,Antonov 12RA 11125,Near Omsukchan Russia,Amur Avis,11,11,0,11
