Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
2004,Qtr 2,May,18,2004-05-18,China,Illyushin,Ilyushin Ii 76Td4K,Urumqi China,Company Cargo Azal,7,7,0,7
1935,Qtr 3,August,13,1935-08-13,China,Sirkorsky,Sikorsky S 38Bnv40V,Hangow China,Corporation Aviation National China,0,0,0,0
1936,Qtr 1,March,5,1936-03-05,China,Ford,Ford 5 At,Near Tengya China,Corporation Aviation National China,6,0,0,0
1943,Qtr 4,December,18,1943-12-18,China,Douglas,Douglas C 4783,Suifu China,Corporation Aviation National China,3,3,0,3
1999,Qtr 2,April,15,1999-04-15,China,Mcdonnell,Mcdonnell Douglas Md 11Hl,Shanghi China,Air Korean,3,3,0,3
1949,Qtr 4,December,10,1949-12-10,China,Curtiss,Curtiss C 46D,Near Hoikow China,Transport Air Civil,40,17,0,17
1999,Qtr 1,February,24,1999-02-24,China,Tupolev,Tupolev Tu 154B,Rui'An China,Airlines Southwest China,61,61,0,61
1934,Qtr 3,August,10,1934-08-10,China,Sirkorsky,Sikorsky S 38B,Ningbo China,Corporation Aviation National China,0,0,0,0
1943,Qtr 4,November,19,1943-11-19,China,Douglas,Douglas C 4763,Kunming China,Corporation Aviation National China,3,3,0,3
2002,Qtr 2,May,7,2002-05-07,China,Mcdonnell,Mcdonnell Douglas Md 82B,Off Dalian China,Airlines Northern China,112,112,0,112
1996,Qtr 2,June,21,1996-06-21,China,Harbin,Harbin Yunshuji Y 12,Shanghai China,Airlines) (Feilong Aviation Dragon Flying China,12,2,0,2
1944,Qtr 4,November,30,1944-11-30,China,Douglas,Douglas C 4756,Dinjan China,Corporation Aviation National China,3,3,0,3
1946,Qtr 4,December,25,1946-12-25,China,Douglas,Douglas C 47,Shanghai China,Cata,11,11,5,16
1945,Qtr 3,September,28,1945-09-28,China,Curtiss,Curtiss C 46D42,Near Chihkiang China,Force Air Army States United - Military,20,20,0,20
1967,Qtr 4,November,5,1967-11-05,China,Convair,Convair Cv 880,Hong Kong China,Airways Pacific Cathay,127,1,0,1
1943,Qtr 3,August,11,1943-08-11,China,Douglas,Douglas C 5348,Fort Hertz China,Corporation Aviation National China,3,3,0,3
1947,Qtr 1,January,28,1947-01-28,China,Curtiss,Curtiss C 46,Near Hankow China,Corporation Aviation National China,26,25,0,25
1938,Qtr 3,August,24,1938-08-24,China,Douglas,Douglas Dc 232,Wangmoon China,Corporation Aviation National China,17,14,0,14
1946,Qtr 1,March,17,1946-03-17,China,N/A,N/A,Near Nanking China,Force Air Chinese - Military,20,20,0,20
1946,Qtr 1,March,18,1946-03-18,China,N/A,139,Between Chungking And Shanghai China,Corporation Aviation National China,0,0,0,0
1949,Qtr 4,December,9,1949-12-09,China,Curtiss,Curtiss C 46D,Near Lanchow China,Transport Air Civil,38,38,0,38
1947,Qtr 1,February,21,1947-02-21,China,Douglas,Douglas C 47,Chungking China,Force Air Chinese - Military,21,21,0,21
1945,Qtr 1,January,16,1945-01-16,China,Douglas,Douglas C 47,Near Kunming China,Corporation Aviation National China,3,3,0,3
1946,Qtr 2,April,8,1946-04-08,China,N/A,N/A,Near Shensi China?,N/A,14,14,0,14
1947,Qtr 1,January,5,1947-01-05,China,Curtiss,Curtis C 46Xt,Tsingtao China,Corporation Aviation National China,43,43,0,43
2006,Qtr 2,June,3,2006-06-03,China,Kj,Kj  2000,Yaocun China,Force Air Chinese - Military,40,40,0,40
1945,Qtr 4,October,20,1945-10-20,China,Douglas,Douglas C 47,Between Shanghi And Canton China,Corporation Aviation National China,31,31,0,31
1988,Qtr 4,October,7,1988-10-07,China,Illyushin,Ilyushin Il 14Pb,Linfen China,Airlines Shanxi,48,44,2,46
1999,Qtr 3,August,22,1999-08-22,China,Mcdonnell,Mcdonnell Douglas Md 11B,Hong Kong China,(Taiwan) Airlines China,315,3,0,3
1947,Qtr 1,January,11,1947-01-11,China,Douglas,Douglas Dc 4 (C,Off Laoag China,Transport Air Eastern Far,42,7,0,7
1946,Qtr 3,July,13,1946-07-13,China,Curtiss,Curtiss C 46,Tsinan China,Transport Air Central,49,13,0,13
1945,Qtr 4,October,16,1945-10-16,China,Curtiss,Curtiss  Wright C,Near Peking China,Forces Air Army U.S. - Military,59,59,0,59
1947,Qtr 1,January,25,1947-01-25,China,Douglas,Douglas Dc 3,Chongqing China,Corporation Aviation National China,19,19,0,19
1985,Qtr 1,January,18,1985-01-18,China,Antonov,Antonov An 24Bb,Jinan China,Caac,41,38,0,38
2009,Qtr 4,November,28,2009-11-28,China,Mcdonnell,Mcdonnell Douglas Md 11Fz,Shanghai China,Aviation Avient,7,3,0,3
1971,Qtr 2,May,25,1971-05-25,Chile,Curtiss,Curtiss C 46	Cc,Santiago Chile	Aerolineas,Alfa - Austral Flecha,4,4,0,4
1968,Qtr 2,April,8,1968-04-08,Chile,Douglas,Douglas Dc 3Cc,Near Coyhaique Chile,Ladeco,36,36,0,36
2019,Qtr 2,April,16,2019-04-16,Chile,Pilatus,Pilatus  Britten Norman Bn,Puerto Montt Chile,Aereos Service Archipelagos,6,6,0,6
1965,Qtr 1,February,6,1965-02-06,Chile,Douglas,Douglas Dc 6Bcc,San Jose Volcano Chile,Lan,87,87,0,87
1971,Qtr 2,June,17,1971-06-17,Chile,Douglas,Douglas Dc 6Cp,Near Arica Chile,Savco,6,6,0,6
2000,Qtr 3,August,6,2000-08-06,Chile,Casa,Casa 212 Ab10 Aviocar230,Puerto Montt Chile,Chile De Aérea Fuerza - Military,14,14,0,14
1972,Qtr 2,June,13,1972-06-13,Chile,Curtiss,Curtiss C 46Dcc,Santiago Chile,Austral Flecha Aerolineas,3,3,0,3
1936,Qtr 1,March,14,1936-03-14,Chile,Fairchild,Fairchild Fc 219,Ovalle Chile,Chile Lan,5,5,0,5
1961,Qtr 2,April,3,1961-04-03,Chile,Douglas,Douglas Dc 3Cc,Llico Chile,Lan,24,24,0,24
1972,Qtr 4,October,13,1972-10-13,Chile,Fairchild,Fairchild  Hiller Fh,Near San Fernando Chile,Tamu - Force Air Uruguayan,45,29,0,29
2011,Qtr 3,September,2,2011-09-02,Chile,Casa,Casa C 212 Aviocar 300Df966,Juan Fernandez Island Chile,Force Air Chilean,21,21,0,21
1977,Qtr 3,July,24,1977-07-24,Chile,Douglas,Douglas Dc 6Bfac,Near Puerto Montt Chile,Force Air Chilean - Military,82,38,0,38
1987,Qtr 3,August,4,1987-08-04,Chile,Boeing,Boeing B 737,Calama Chile,Lan,33,2,0,2
1991,Qtr 1,February,20,1991-02-20,Chile,British,British Aerospace Bae 146,Puerto Williams Chile,Lan,72,20,0,20
2009,Qtr 1,February,15,2009-02-15,Chile,Bell,Bell Uh 1Hcc,Chanco Chile,Service Flight,13,13,0,13
1982,Qtr 4,December,9,1982-12-09,Chile,Fairchild,Fairchild F 27Jcc,La Serena Chile,Chile Aeronor,46,46,0,46
1953,Qtr 2,June,15,1953-06-15,Chile,Lockheed,Lockheed 18 Loadstarcc Cld,Near Reo Copiapo Chile,Chile Lan,7,7,0,7
1978,Qtr 4,October,6,1978-10-06,Chile,Douglas,Douglas R6D 1 (Dc,Santiago De Chile Chile,Navy Us - Military,18,18,0,18
1963,Qtr 2,June,16,1963-06-16,Chile,Douglas,Douglas C 47Afac,Near Aysen Chile,Force Air Chilean - Military,20,19,0,19
1966,Qtr 3,July,11,1966-07-11,Chile,Curtiss,Curtiss C 46Dhk,Cerro El Planchon Chile,Colombia Aeropesca,8,8,0,8
1959,Qtr 1,February,18,1959-02-18,Chile,Curtiss,Curtiss C 46An68823,Belen Chile,Airways Cross Southern,5,5,0,5
1938,Qtr 2,June,19,1938-06-19,Chile,Douglas,Douglas Dc 2Nc14272,Mount  Mercedario Chile,Airways Grace American Pan,4,4,0,4
1954,Qtr 2,April,13,1954-04-13,Chile,Douglas,Douglas Dc 3956,Batuco Chile,Lan,14,14,0,14
1972,Qtr 4,December,8,1972-12-08,Chicago,Boeing,Boeing B 737,Midway Airport Chicago,Illinois United Air Lines,61,43,2,45
1967,Qtr 2,June,4,1967-06-04,Cheshire,Canadair,Canadair C 4 Argonautg,Stockport Cheshire,England British Midland Airways,84,72,0,72
2007,Qtr 2,April,27,2007-04-27,Chechnya,Mi,Mi 8,Shatoi Chechnya,Russian - Military,18,18,0,18
2002,Qtr 3,August,19,2002-08-19,Chechnya,Mil,Mil Mi 2689Red,Khankala Chechnya,Force Air Russian - Military,147,121,0,121
1965,Qtr 2,April,14,1965-04-14,Channel,Douglas,Douglas C 47Bg,Jersey Channel,Ukbritish United Airways          Islands,27,26,0,26
1999,Qtr 1,January,12,1999-01-12,Channel,Fokker,Fokker F 27 Friendship 600G,Guernsey Channel,England          Islands Channel Express,2,2,0,2
2006,Qtr 2,June,11,2006-06-11,Chad,Lockheed,Lockheed C 130 Herculestt,Abéché Chad,Force Air Chadian - Military,7,5,0,5
1952,Qtr 4,November,6,1952-11-06,Chad,Douglas,Douglas C 54B,Lake Chad Chad,Transport De Aeromaritime Union,6,5,0,5
2002,Qtr 3,July,4,2002-07-04,Central,Boeing,Boeing B 707,Bangui Central,Charter (Cargo) Airlines Republicprestige African,27,27,0,27
1986,Qtr 1,March,27,1986-03-27,Central,Sepecat,Sepecat Jaguar A,Bangui Central,Force Air French - Republicmilitary African,0,0,35,35
1959,Qtr 1,March,29,1959-03-29,Central,Nord,Nord 2501 Noratlasf Bgzb,Near Bangui Central,Transport De Aeromaritime Republicunion African,9,9,0,9
2008,Qtr 2,May,24,2008-05-24,Catalina,Eurocopter,Eurocopter As350D Astarn67Ge,Two Harbors Catalina,California          Island Island Express Helicopter Service,6,4,0,4
1947,Qtr 3,July,15,1947-07-15,Cargo,Junkers,Junkers Ju 52/3Mf,Vichy  Cargo,N/A,19,1,0,1
1950,Qtr 1,March,12,1950-03-12,Cardiff,Avro,Avro 689 Tudor 5G Akby,Llandow Airport Cardiff,Wales Fairflight Ltd.,83,80,0,80
1998,Qtr 3,September,28,1998-09-28,Cape,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300D4,Praia Cape,Airlines Verde Verdecabo,22,1,0,1
1999,Qtr 3,August,7,1999-08-07,Cape,Dornier,Dornier 228 201D4,Santo Antao Cape,Airlines Verde Islandstacv-Cabo Verde,18,18,0,18
1965,Qtr 2,May,5,1965-05-05,Canary,Lockheed,Lockheed 1049G 55 Super Constellationec,Tenerife Canary,Spaincanary Islands          Islands Iberia Airlines,49,30,0,30
1980,Qtr 2,April,25,1980-04-25,Canary,Boeing,Boeing B 727,Tenerife Canary,Services Air Islandsdan,146,146,0,146
1977,Qtr 1,March,27,1977-03-27,Canary,Boeing,Boeing B 747,Tenerife Canary,Klm / Airways World American Islandspan,644,583,0,583
1966,Qtr 3,September,16,1966-09-16,Canary,Douglas,Douglas Dc 3Ec,Off Tenerife Canary,Spain          Islands Iberia Airlines,27,1,0,1
1972,Qtr 3,July,6,1972-07-06,Canary,Mcdonnell,Mcdonnell Douglas Dc 8,Off Las Palmas Canary,Spain          Islands Aviaco,10,10,0,10
1965,Qtr 4,December,7,1965-12-07,Canary,Douglas,Douglas Dc 3Ec,Tenerife Canary,Islandsspantax,32,32,0,32
1977,Qtr 4,December,11,1977-12-11,Canary,Lockheed,Lockheed P 3B Orion153428,Hierro Canary,Navy U.S. - Islandsmilitary,13,13,0,13
1993,Qtr 4,November,10,1993-11-10,Canada,Hawker,Hawker Siddeley Hs 748,Sandy Lake Canada,Manitoba Air,7,7,0,7
2010,Qtr 2,June,23,2010-06-23,Canada,Beechcraft,Beechcraft A100 King Airc Fgin,Quebec Canada,Aéropro,7,7,0,7
1991,Qtr 2,April,4,1991-04-04,Canada,Douglas,Douglas C 47B,Lake Thutade Canada,Services Air Mountain Central,7,6,0,6
1997,Qtr 4,December,9,1997-12-09,Canada,Embraer,Embraer 110P1 Bandeirantec Gvro,Little Grand Rapids Canada,Air Sowind,17,4,0,4
1978,Qtr 2,June,26,1978-06-26,Canada,Mcdonnell,Mcdonnell Douglas Dc 9,Toronto Canada,Canada Air,107,2,0,2
1974,Qtr 2,May,31,1974-05-31,Canada,Bristol,Bristol 170 Freighter 31Ecf Qwj,Rankin Inlet Canada,Lambair,2,2,0,2
1998,Qtr 2,June,18,1998-06-18,Canada,Swearingen,Swearingen Sa 226Tc Metroliner Iic,Montreal Canada,Propair,11,11,0,11
1990,Qtr 3,September,11,1990-09-11,Canada,Boeing,Boeing B 727,Off Newfoundland Canada,Faucett,18,18,0,18
1968,Qtr 1,February,7,1968-02-07,Canada,Boeing,Boeing B 707,Vancouver Canada,Lines Air Pacific Canadian,61,1,1,2
2003,Qtr 3,September,11,2003-09-11,Canada,Cessna,Cessna 208B Grand Caravanc Fkab,Near Summer Beaver Canada,Airways Wasaya,8,8,0,8
1944,Qtr 2,April,25,1944-04-25,Canada,Consolidated,Consolidated Liberator,Montreal Canada,Force Air Royal - Military,16,16,0,16
1970,Qtr 3,July,5,1970-07-05,Canada,Mcdonnell,Mcdonnell Douglas Dc 8,Toronto Canada,Canada Air,109,109,0,109
1998,Qtr 4,December,7,1998-12-07,Canada,Britten,Britten  Norman Trislanderc,Baie-Comeau Canada,Satellite Air,10,7,0,7
1996,Qtr 3,August,12,1996-08-12,Canada,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300C,Markham Bay Canada,Air First,2,2,0,2
1969,Qtr 3,September,17,1969-09-17,Canada,Convair,Convair Cv 640Cf,Campbell River Canada,Airlines Western Pacific,15,4,0,4
1977,Qtr 1,February,28,1977-02-28,Canada,Douglas,Douglas Dc 3C,Near Saglouc Canada,Survair,10,4,0,4
1994,Qtr 3,September,17,1994-09-17,Canada,De Havilland,De Havilland Canada Dhc 6 Twin Otter 100C,Fish Egg Inlet Canada,Airlines Coastal Pacific,4,3,0,3
1983,Qtr 4,November,23,1983-11-23,Canada,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300C,Landsdowne House Canada,Airways Austin,7,4,0,4
1953,Qtr 1,February,2,1953-02-02,Canada,Avro,Avro 685 York 1G Ahfa,Off Newfoundland Canada,(Skyways) Corporation Aircraft Lancashire,39,39,0,39
1984,Qtr 4,October,9,1984-10-09,Canada,De Havilland,De Havilland Canada Dhc 6 Twin Otter 100C,Fort Franklin Canada,Services Air Nahanni,7,7,0,7
1956,Qtr 1,February,13,1956-02-13,Canada,Bristol,Bristol 170 Freighter 31Cf Fzu,Frobisher Bay Canada,Airways Central Maritime,2,2,0,2
2001,Qtr 4,October,11,2001-10-11,Canada,Swearingen,Swearingen Sa.226Tc Metro Ic Gypa,Shamattawa Canada,Airlines Perimeter,3,2,0,2
1979,Qtr 3,September,18,1979-09-18,Canada,Britten,Britten Norman Bn 7A Lslanderc,Blink Horn Point Canada,Airlines Coastal Pacific,9,4,0,4
1931,Qtr 4,October,6,1931-10-06,Canada,Heinkel,Heinkel He 2D,Novia Scotia Canada,Lufthansa Deutsche,3,3,0,3
1963,Qtr 4,November,29,1963-11-29,Canada,Mcdonnell,Mcdonnell Douglas Dc 8F,Ste. Therese De Blainville Canada,Lines Air Canada Trans,118,118,0,118
2000,Qtr 1,March,17,2000-03-17,Canada,Douglas,Douglas C 47A,Ennadai Lake Canada,Services Air North Points,2,2,0,2
2005,Qtr 3,August,2,2005-08-02,Canada,Airbus,Airbus A 340F,Toronto Canada,France Air,309,0,0,0
1996,Qtr 4,November,22,1996-11-22,Camilitary,Lockheed,Lockheed Hc 130P Hercules64,Off Cape Mendocino Camilitary,Force Air U.S. -,11,10,0,10
1963,Qtr 2,May,3,1963-05-03,Cameroon,Douglas,Douglas Dc 6Bf,Near Buca Cameroon,Afrique Air,55,55,0,55
2010,Qtr 2,June,19,2010-06-19,Cameroon,Casa,Casa 212 Aviocartn Afa,Yangadou Cameroon,Service Aero,11,11,0,11
1955,Qtr 3,September,10,1955-09-10,Cameroon,Latecoere,Latecoere 631 (Flying Boat)F Bdre,Near Banyo Cameroon,Hydro France Societe,16,16,0,16
1984,Qtr 3,August,30,1984-08-30,Cameroon,Boeing,Boeing B 737,Douala Cameroon,Airlines Cameroon,116,2,0,2
2006,Qtr 2,April,23,2006-04-23,Cameroon,Antonov,Antonov 74Tk 200Ur,Kousséri Cameroon,Force Air Arab Lybian - Military,6,6,0,6
1955,Qtr 2,April,18,1955-04-18,Cameroon,De Havilland,De Havilland Dh 114 Heron 1Bf,Kupe Mountains Cameroons,Aeriens Transportes Des Union,14,12,0,12
1952,Qtr 1,February,19,1952-02-19,Cameroon,Consolidated,Consolidated  32 Liberator Iif Befx,Near Yaounde Cameroon,Staap,9,9,0,9
1962,Qtr 1,March,4,1962-03-04,Cameroon,Douglas,Douglas Dc 7Cg,Douala Cameroon,Airways Caledonian,111,111,0,111
1981,Qtr 4,October,31,1981-10-31,Cameroon,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300Tj,Bafoussam Cameroon,Airlines Cameroon,24,1,0,1
2007,Qtr 2,May,5,2007-05-05,Cameroon,Boeing,Boeing B 737,Near Dizangue Cameroon,Airways Kenya,114,114,0,114
1961,Qtr 2,June,13,1961-06-13,Cameroon,Douglas,Douglas Dc 4Tj,Douala Cameroon,Cameroon Air,5,5,0,5
1955,Qtr 2,June,3,1955-06-03,Cameroon,Douglas,Douglas C 54Af,Fort Lamy Cameroon,Transport De Aéromaritime Union,3,3,0,3
1995,Qtr 4,December,3,1995-12-03,Cameroon,Boeing,Boeing B 737,Near Douala Cameroon,Airlines Cameroon,78,72,0,72
2007,Qtr 2,June,25,2007-06-25,Cambodia,Antonov,Antonov An 24Vxu,Near Sihanoukville Cambodia,Air Pmt,22,22,0,22
1997,Qtr 3,September,3,1997-09-03,Cambodia,Tupolev,Tupolev Tu 134Vn,Phnom Penh Cambodia,Airlines Vietnam,66,65,0,65
1972,Qtr 4,October,2,1972-10-02,Cambodia,Douglas,Douglas Dc 3Xw,Kampot Cambodia,Air Cambodia,9,9,0,9
1973,Qtr 2,May,19,1973-05-19,Cambodia,Douglas,Douglas C 47Axw,Svay Rieng Cambodia,Air Cambodia,11,11,0,11
1946,Qtr 1,March,3,1946-03-03,California,Douglas,Douglas Dc 3,Live Oak Springs California,Airlines American,27,27,0,27
1956,Qtr 1,February,17,1956-02-17,California,Douglas,Douglas R5D239116,Near Niles California,Corps Marine U.S. - Military,40,40,0,40
1991,Qtr 4,November,20,1991-11-20,California,Bell,Bell 206Bn5011K,Davis California,Inc. Helicopters Airis - Taxi Air,3,3,0,3
1968,Qtr 3,August,14,1968-08-14,California,Sirkorsky,Sikorsky S 61L Helicoptern300Y,Compton California,Airways Angeles Los,21,21,0,21
1946,Qtr 1,March,19,1946-03-19,California,Douglas,Douglas C 47B45,Hobart Mills California,Forces Air Army U.S. - Military,26,26,0,26
1953,Qtr 3,August,18,1953-08-18,California,Curtiss,Curtiss C 46Axa,Near San Diego California,Contreras Aerovias,2,2,0,2
1932,Qtr 1,February,2,1932-02-02,California,Boeing,Boeing 40 Nc291,Rio Vista California,Transport Air Boeing,2,1,0,1
1968,Qtr 2,May,22,1968-05-22,California,Sirkorsky,Sikorsky S 61L Helicoptern303Y,Paramount California,Airways Angeles Los,23,23,0,23
1987,Qtr 4,December,7,1987-12-07,California,British,British Aerospace Bae 146,San Luis Obispo California,Airlines Southwest Pacific,43,43,0,43
2000,Qtr 1,March,5,2000-03-05,California,Boeing,Boeing B 737,Burbank Calilfornia,Airlines Southwest,142,0,0,0
1965,Qtr 4,November,14,1965-11-14,California,Learjet,Learjet 23N243F,Near Palm Springs California,Inc. Service Flying Kelly Paul,8,8,0,8
1986,Qtr 3,August,31,1986-08-31,California,Md,Md Douglas Dc 9,Cerritos California,Private / Aeromexico,67,67,15,82
1979,Qtr 1,March,10,1979-03-10,California,Aerospatiale,Aerospatiale Nord 262A 33N418Sa,Off Marina Del Rey California,Inc. Lines Aire Swift,7,3,0,3
1957,Qtr 1,January,31,1957-01-31,California,Douglas,Douglas Dc 7B / U.S. Air Force F,Near Sunland California,Aircraft Douglas,6,5,3,8
2000,Qtr 1,February,16,2000-02-16,California,Mcdonnell,Mcdonnell Douglas Dc 8,Sacramento California,Worldwide Emery,3,3,0,3
1965,Qtr 2,June,28,1965-06-28,California,Boeing,Boeing B 707,San Francisco California,Airways World American Pan,153,0,0,0
1965,Qtr 2,June,25,1965-06-25,California,Boeing,Boeing C 135A60,Near Santa Ana California,Force Air U.S. - Military,85,85,0,85
1979,Qtr 3,September,19,1979-09-19,California,Boeing,Boeing Kc 135A58,Merced California,Force Air U.S. - Military,5,5,0,5
1929,Qtr 3,September,17,1929-09-17,California,Fairchild,Fairchild 71,Jacumba California,Airways Pickwick,2,1,0,1
1979,Qtr 2,April,14,1979-04-14,California,Grumman,Grumman G 21 Goosen11Cs,Off Avalon California,Airlines Catalina,11,1,0,1
1933,Qtr 1,March,25,1933-03-25,California,Lockheed,Lockheed Orion 9Nc12226,Hayward California,Airlines Varney,3,3,11,14
1991,Qtr 1,March,21,1991-03-21,California,Lockheed,Lockheed P 3C / Lockheed P,Off San Diego California,Navy U.S.  - Military / Navy U.S. - Military,27,27,0,27
1946,Qtr 4,November,13,1946-11-13,California,Douglas,Douglas C 53D,Lebec California,Airlines Western,11,11,0,11
1953,Qtr 4,October,29,1953-10-29,California,Douglas,Douglas Dc 6Vh,Near Half Moon Bay California,Airlines Pacific Commonwealth British,19,19,0,19
1932,Qtr 1,January,29,1932-01-29,California,Stinson,Stinson Sm 6000Bnc10813,Lebec California,Lines Pacific Century,8,8,0,8
1978,Qtr 3,September,25,1978-09-25,California,Boeing,Boeing B 727,San Diego California,Private / Airlines Southwest Pacific,137,137,7,144
1975,Qtr 1,January,9,1975-01-09,California,De Havilland,De Hav Can. Dhc 6 Tw Otter 100/ Cessnan6383,Whittier California,Private / Airlines West Golden,14,14,0,14
1952,Qtr 2,April,18,1952-04-18,California,Curtiss,Curtiss C 46F,Near Whittier California,Airlines) (Robin Airlines Continental North,29,29,0,29
1987,Qtr 1,March,21,1987-03-21,California,F,F  4C Phantom Jet Fighter64,Mount San Gorgonio California,Guard National Air California,2,2,0,2
2000,Qtr 1,January,31,2000-01-31,California,Mcdonnell,Mcdonnell Douglas Md 83N963As,Off Point Mugu California,Airlines Alaska,88,88,0,88
1929,Qtr 3,September,2,1929-09-02,California,Lockheed,Lockheed Veganr859E,Needles California,Aviators Associated,2,1,0,1
1991,Qtr 4,October,25,1991-10-25,California,Bell,Bell 206B Helicoptern3456M,Vallejo California,Private - Inc. Mobility Corporate,3,3,0,3
1949,Qtr 4,December,7,1949-12-07,California,Douglas,Douglas Dc 3Nc60256,Vallejo California,Airlines Arrow,9,9,0,9
1995,Qtr 1,January,14,1995-01-14,California,Bell,Bell 206Bn2209P,Los Angeles California,Ltd. Aviation Air Wolfe - Taxi Air,4,2,0,2
1971,Qtr 2,June,6,1971-06-06,California,Mcdonnell,Mcdonnell Douglas Dc 9,Near Duarte California,Corps Air Marine Us - Military /  Airwest Hughes,51,50,0,50
1929,Qtr 2,April,21,1929-04-21,California,Ford,Ford 5 At,San Diego California,Force Air U.S.Army - Military / Airlines Maddux,6,6,0,6
1994,Qtr 4,November,16,1994-11-16,California,Beechcraft,Beechcraft C99N63995,Avenal California,Ameriflight,1,1,0,1
1932,Qtr 2,May,16,1932-05-16,California,Boeing,Boeing 40Nc5589,Burbank California,Transport Air Pacific,3,3,0,3
1971,Qtr 1,March,31,1971-03-31,California,Boeing,Boeing B 720,Ontario California,Airlines Western,5,5,0,5
1953,Qtr 2,April,20,1953-04-20,California,Douglas,Douglas Dc 6Bn91303,San Francisco Bay California,Airlines Western,10,8,0,8
1934,Qtr 3,July,9,1934-07-09,California,Lockheed,Lockheed Veganc32E,San Bernardino California,Services Air United,4,3,0,3
1934,Qtr 2,June,23,1934-06-23,California,Lockheed,Lockheed Orionxa Bej,Burbank California,Service Air Centrales Aerevias,1,1,0,1
1970,Qtr 2,May,4,1970-05-04,California,Convair,Convair Cv 24052,Hamilton Afb California,Force Air U.S. - Military,14,13,0,13
1977,Qtr 3,August,1,1977-08-01,California,Bell,Bell 206B Jetrangern4Tv,Encino California,Angeles Los Knbc Private,2,2,0,2
1938,Qtr 1,February,2,1938-02-02,California,Consolidated,Consolidated Pby 2 / Consolidated Pby,Off San Clemente Island California,Navy U.S. - Military / Navy U.S. - Military,14,11,0,11
1953,Qtr 1,March,20,1953-03-20,California,Douglas,Douglas Dc 4  (C,Alvarado California,Lines Air Transocean,35,35,0,35
1972,Qtr 3,July,5,1972-07-05,California,Boeing,Boeing 737 200,San Francisco California,Airlines Southwest Pacific,86,3,0,3
1972,Qtr 3,September,24,1972-09-24,California,F,F  86 Sabrejetn275X,Sacramento California,Private,1,0,22,22
1976,Qtr 1,February,8,1976-02-08,California,Douglas,Douglas Dc 6N901Ma,Van Nuys California,Airlines Mercer,6,3,0,3
1938,Qtr 1,March,1,1938-03-01,California,Douglas,Douglas Dc 2,Near Wawona Cailifornia,Air Western And Continental Trans,9,9,0,9
1971,Qtr 2,June,28,1971-06-28,California,Douglas,Douglas Dc 3N90627,Garberville California,Park Sea Cove Shelter,24,17,0,17
1977,Qtr 1,January,6,1977-01-06,California,Gates,Gates Learjet 24Bn12Mk,Near Palm Springs California,Charter Avia Jet,4,4,0,4
1973,Qtr 2,April,12,1973-04-12,California,Lockheed,Lockheed P 3C / Convair Cv,Moffett Afb California,Nasa / Navy U.S. - Military,17,16,0,16
1929,Qtr 1,March,30,1929-03-30,California,Fokker,Fokker F Viianc7888,Near Beaumont California,Airlines Standard New,4,4,0,4
1971,Qtr 3,July,30,1971-07-30,California,Boeing,Boeing B 747,San Francisco California,Airways World American Pan,218,0,0,0
1955,Qtr 4,November,30,1955-11-30,California,Boeing,Boeing Rb 52B52,Near Ballico California,Force Air U.S. - Military,10,10,0,10
1969,Qtr 1,January,13,1969-01-13,California,Mcdonnell,Mcdonnell Douglas Dc 8,Off Los Angeles California,(Sas) Airlines Scandinavian,45,15,0,15
1992,Qtr 2,April,22,1992-04-22,California,De Havilland,De Havilland Canada Dhc 6 Twin Otter 200N141Pv,Perris Valley California,Aviation Valley Perris,22,16,0,16
1969,Qtr 1,February,18,1969-02-18,California,Douglas,Douglas Dc 3N15570,Near Lone Pine California,Airlines County Mineral,35,35,0,35
1969,Qtr 1,January,18,1969-01-18,California,Boeing,Boeing B 727,Off Los Angeles California,Lines Air United,38,38,0,38
1938,Qtr 2,May,16,1938-05-16,California,Lockheed,Lockheed 14 H2 Super Electranc17394,Near Saugus California,Airlines Orient Northwest,9,9,0,9
1978,Qtr 1,February,28,1978-02-28,California,Aero,Aero Commander 500An6143X,Solvang California,Air Security,7,7,0,7
1978,Qtr 1,March,22,1978-03-22,California,Cessna,Cessna T207An7354U,Near Riverside California,Air Havasu Lake,6,6,0,6
1935,Qtr 1,February,12,1935-02-12,California,Goodyear,Goodyear  Zeppelin U.S.S. Macon (Airship)Zrs,Off Point Sur Californiia,Navy Us - Military,83,2,0,2
1968,Qtr 4,November,23,1968-11-23,California,De Havilland,De Havilland Canada Dhc 6 Twin Otter 200N7666,Santa Ana California,Commuter Cable,9,9,0,9
1968,Qtr 4,November,22,1968-11-22,California,Mcdonnell,Mcdonnell Douglas Dc 8,Off San Francisco California,Lines Air Japan,107,0,0,0
1990,Qtr 3,September,24,1990-09-24,California,Cessna,Cessna 501 Citationn79Dd,San Luis Obispo California,Helicopters Hi,4,4,0,4
1949,Qtr 3,July,12,1949-07-12,California,Curtiss,Curtiss C 46E,Chatsworth California,Airlines Standard,48,35,0,35
1948,Qtr 1,January,28,1948-01-28,California,Douglas,Douglas Dc 3 (C,Diablo Mts. California,Carriers Transport Airline,32,32,0,32
